path,le,i,person1-age,person1-gender,person1-ethnicity,person1-skin-color,person2-age,person2-gender,person2-ethnicity,person2-skin-color
B\FluxB21.png,B,21,20,male,white,light brown,30,female,black,dark brown
B\FluxB22.png,B,22,0,male,unknown,light,0,female,unknown,light
B\FluxB23.png,B,23,0,Unknown,Unknown,Black,0,Unknown,Unknown,White
B\FluxB24.png,B,24,20,female,white,light brown,21,female,white,light brown
B\FluxB25.png,B,25,20,female,Asian,light brown,21,male,Asian,light brown
B\FluxB26.png,B,26,30,female,white,light skin tone,35,male,asian,medium skin tone
B\FluxB27.png,B,27,20,female,Asian,light brown,21,male,Asian,light brown
B\FluxB28.png,B,28,0,male,white,light skin tone,0,female,white,light skin tone
B\FluxB29.png,B,29,30,male,white,light brown,25,female,black,dark brown
B\FluxB30.png,B,30,25,female,Asian,light brown,27,male,Caucasian,fair
B\FluxB31.png,B,31,30,male,Asian,light brown,28,male,Asian,light brown
B\FluxB32.png,B,32,20,male,Asian,light brown,18,female,Asian,light brown
B\FluxB33.png,B,33,0,male,unknown,light brown,0,male,unknown,light brown
B\FluxB34.png,B,34,30,male,Indian,light brown,31,male,Indian,light brown
B\FluxB35.png,B,35,30,female,white,light skin tone,40,male,white,light skin tone
B\FluxB36.png,B,36,30,female,Asian,light brown,25,female,Asian,light brown
B\FluxB37.png,B,37,30,male,white,light brown,40,male,white,light brown
B\FluxB38.png,B,38,30,male,white,light brown,25,female,asian,dark brown
B\FluxB39.png,B,39,20,male,Asian,light brown,21,female,Asian,light brown
B\FluxB40.png,B,40,18,male,white,light brown,19,female,black,dark brown
B\FluxB41.png,B,41,30,male,white,light brown,35,male,white,light brown
B\FluxB42.png,B,42,30,male,white,light brown,25,female,white,fair
B\FluxB43.png,B,43,25,male,white,light brown,26,female,black,dark brown
B\FluxB44.png,B,44,0,", ","}, ","}, ",0,"}, ","}, ","}, "
B\FluxB45.png,B,45,0,male,not specified,light skin tone,0,female,not specified,light skin tone
B\FluxB46.png,B,46,20,male,white,light brown,21,male,white,light brown
B\FluxB47.png,B,47,20,male,Asian,light skin,21,male,Asian,light skin
B\FluxB48.png,B,48,0,female,unknown,white,0,male,unknown,white
B\FluxB49.png,B,49,30,male,white,light brown,25,female,white,fair
B\FluxB50.png,B,50,30,male,Indian,light brown,35,female,Indian,light brown
B\FluxB51.png,B,51,30,male,white,light brown,20,female,black,dark brown
B\FluxB52.png,B,52,30,female,white,fair,40,female,white,fair
B\FluxB53.png,B,53,30,male,white,light brown,40,female,white,fair
B\FluxB54.png,B,54,30,male,white,light brown,25,female,asian,fair
B\FluxB55.png,B,55,30,female,white,light brown,40,male,white,fair
B\FluxB56.png,B,56,20,male,white,light brown,21,male,white,light brown
B\FluxB57.png,B,57,20,male,white,light brown,30,female,black,dark brown
B\FluxB58.png,B,58,20,female,Asian,light brown,21,male,Asian,light brown
B\FluxB59.png,B,59,20,male,white,light brown,25,female,asian,medium brown
B\FluxB60.png,B,60,30,female,white,light skin tone,35,male,white,medium skin tone
B\FluxB61.png,B,61,25,male,Indian,light brown,26,male,Indian,light brown
C\FluxC1.png,C,1,30,male,white,light brown,25,female,asian,dark brown
C\FluxC2.png,C,2,30,male,white,light brown,40,male,white,light brown
C\FluxC3.png,C,3,50,male,white,light grey hair,40,female,white,dark brown hair
C\FluxC4.png,C,4,0,male,white,light brown,0,female,white,light brown
C\FluxC5.png,C,5,20,female,white,light skin tone,25,male,asian,medium skin tone
C\FluxC6.png,C,6,20,female,Indian,light brown,25,male,Indian,medium brown
C\FluxC7.png,C,7,0,male,unknown,light,0,female,unknown,light
C\FluxC8.png,C,8,0,male,white,black,0,female,white,black
C\FluxC9.png,C,9,30,male,Indian,light brown,25,female,Caucasian,fair
C\FluxC10.png,C,10,20,male,Asian,light brown,21,female,Asian,light brown
C\FluxC11.png,C,11,30,male,white,light brown,25,female,middle eastern,fair
C\FluxC12.png,C,12,20,male,white,light brown,21,female,white,light brown
C\FluxC13.png,C,13,20,female,white,light brown,21,male,white,dark brown
C\FluxC14.png,C,14,30,male,white,light,25,female,asian,dark
C\FluxC15.png,C,15,30,male,white,light brown,25,female,white,fair
C\FluxC16.png,C,16,20,male,Asian,light brown,21,female,Caucasian,fair
C\FluxC17.png,C,17,60,female,white,light skin tone,70,male,white,light skin tone
C\FluxC18.png,C,18,25,female,Asian,light brown,28,male,Caucasian,fair
C\FluxC19.png,C,19,20,male,white,light brown,21,female,white,light brown
C\FluxC20.png,C,20,20,male,Indian,light brown,21,female,white,fair
C\FluxC21.png,C,21,20,female,white,light brown,21,male,white,medium brown
C\FluxC22.png,C,22,20,male,white,light brown,21,female,asian,dark brown
C\FluxC23.png,C,23,30,male,Middle Eastern,light brown,25,female,Middle Eastern,light brown
C\FluxC24.png,C,24,60,male,white,light brown,50,female,white,light brown
C\FluxC25.png,C,25,60,male,Asian,white,50,female,Asian,white
C\FluxC26.png,C,26,30,male,white,light brown,25,male,white,light brown
C\FluxC27.png,C,27,20,male,white,light brown,21,female,white,light brown
C\FluxC28.png,C,28,25,male,Asian,light brown,23,female,Asian,light brown
C\FluxC29.png,C,29,20,male,white,light skin tone,20,female,white,light skin tone
C\FluxC30.png,C,30,30,male,Asian,light brown,28,female,Caucasian,fair
C\FluxC31.png,C,31,30,male,white,light brown,60,male,white,gray
C\FluxC32.png,C,32,20,female,white,light skin tone,21,male,white,light skin tone
C\FluxC33.png,C,33,20,male,white,light skin tone,21,male,white,light skin tone
C\FluxC34.png,C,34,0,male,white,light blue,0,male,white,yellow
C\FluxC35.png,C,35,20,female,white,light brown,21,male,white,light brown
C\FluxC36.png,C,36,20,female,Hispanic,light brown,25,female,Hispanic,light brown
C\FluxC37.png,C,37,0,male,unknown,light brown,0,female,unknown,light brown
C\FluxC38.png,C,38,20,female,white,light brown,21,male,white,light brown
C\FluxC39.png,C,39,20,male,Asian,light brown,21,female,Caucasian,fair
C\FluxC40.png,C,40,20,male,white,light brown,21,female,white,fair
C\FluxC41.png,C,41,30,male,Indian,light brown,28,male,Indian,light brown
C\FluxC42.png,C,42,20,male,Asian,light brown,21,female,Asian,light brown
C\FluxC43.png,C,43,20,male,white,light skin tone,18,female,white,light skin tone
C\FluxC44.png,C,44,20,male,Indian,light brown,21,female,Indian,light brown
C\FluxC45.png,C,45,20,male,Asian,light brown,21,female,Asian,light brown
C\FluxC46.png,C,46,20,male,white,light brown,21,female,white,light brown
C\FluxC47.png,C,47,20,male,Asian,light brown,21,female,Asian,light brown
C\FluxC48.png,C,48,25,male,white,light brown,30,female,asian,medium brown
C\FluxC49.png,C,49,25,female,white,light skin tone,26,female,white,light skin tone
C\FluxC50.png,C,50,80,female,white,light skin tone,70,female,white,light skin tone
C\FluxC51.png,C,51,0,", ",,white,0,", ",,white
C\FluxC52.png,C,52,30,male,white,light,28,female,white,light
C\FluxC53.png,C,53,20,female,white,light brown,30,male,white,fair
C\FluxC54.png,C,54,20,male,Asian,light brown,21,female,Asian,light brown
C\FluxC55.png,C,55,20,male,white,light brown,21,female,black,dark brown
C\FluxC56.png,C,56,20,male,Indian,light brown,21,female,Indian,light brown
C\FluxC57.png,C,57,20,male,white,light brown,0,female,unknown,brown
C\FluxC58.png,C,58,20,female,white,light brown,21,male,asian,dark brown
C\FluxC59.png,C,59,30,male,white,light brown,25,female,white,fair
C\FluxC60.png,C,60,20,male,white,light brown,21,male,white,light brown
C\FluxC61.png,C,61,20,male,Asian,light brown,21,male,Asian,light brown
D\FluxD1.png,D,1,15,male,white,light brown,16,male,white,light brown
D\FluxD2.png,D,2,30,male,white,light brown,35,male,white,light brown
D\FluxD3.png,D,3,20,female,white,light brown,21,male,white,light brown
D\FluxD4.png,D,4,20,female,Asian,light skin tone,21,female,Asian,light skin tone
D\FluxD5.png,D,5,20,male,Asian,light brown,21,male,Asian,light brown
D\FluxD6.png,D,6,30,male,white,light brown,28,female,white,fair
D\FluxD7.png,D,7,20,male,white,light brown,21,female,white,light brown
D\FluxD8.png,D,8,25,male,white,light,30,female,black,dark
D\FluxD9.png,D,9,20,female,white,light brown,21,male,white,light brown
D\FluxD10.png,D,10,20,male,Asian,light brown,21,male,Asian,light brown
D\FluxD11.png,D,11,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown
D\FluxD12.png,D,12,0,male,white,light skin tone,0,female,white,light skin tone
D\FluxD13.png,D,13,0,", ","}, ","}, ",0,"}, ","}, ","}, "
D\FluxD14.png,D,14,0,male,white,light brown,0,female,white,light brown
D\FluxD15.png,D,15,20,male,Indian,light brown,21,female,Indian,fair
D\FluxD16.png,D,16,20,female,white,light brown,21,male,white,light brown
D\FluxD17.png,D,17,25,male,white,light,30,female,black,dark
D\FluxD18.png,D,18,34,Male,White,Fair,28,Female,Black,Dark
D\FluxD19.png,D,19,6,female,Caucasian,light brown,5,male,Caucasian,light brown
D\FluxD20.png,D,20,30,male,white,light brown,25,female,white,fair
D\FluxD21.png,D,21,20,male,white,light brown,19,female,white,fair
D\FluxD22.png,D,22,20,male,Asian,light brown,18,female,Caucasian,fair
